start,end,duration_s
2026-04-23 12:24:32,2026-04-23 12:51:22,1610.0
2026-04-23 12:51:22,2026-04-23 12:51:36,14.0
2026-04-23 12:51:36,2026-04-23 12:51:51,15.0
2026-04-23 12:51:51,2026-04-23 12:52:08,17.0
2026-04-23 12:52:08,2026-04-23 12:52:23,15.0
2026-04-23 12:52:23,2026-04-23 12:52:37,14.0
2026-04-23 12:52:37,2026-04-23 12:52:51,14.0
2026-04-23 12:52:51,2026-04-23 12:53:06,15.0
2026-04-23 12:53:06,2026-04-23 12:53:20,14.0
2026-04-23 12:53:20,2026-04-23 12:53:37,17.0
2026-04-23 12:53:37,2026-04-23 12:53:52,15.0
2026-04-23 12:53:52,2026-04-23 12:54:06,14.0
2026-04-23 12:54:06,2026-04-23 12:54:21,15.0
2026-04-23 12:54:21,2026-04-23 12:54:35,14.0
2026-04-23 12:54:35,2026-04-23 12:54:52,17.0
2026-04-23 12:54:52,2026-04-23 12:55:07,15.0
2026-04-23 12:55:07,2026-04-23 12:55:21,14.0
2026-04-23 12:55:21,2026-04-23 12:55:35,14.0
2026-04-23 12:55:35,2026-04-23 12:55:38,3.0
2026-04-23 12:55:38,2026-04-23 12:55:53,15.0
2026-04-23 12:55:53,2026-04-23 12:55:56,3.0
2026-04-23 12:55:56,2026-04-23 12:56:10,14.0
2026-04-23 12:56:10,2026-04-23 12:56:25,15.0
2026-04-23 12:56:25,2026-04-23 12:56:42,17.0
2026-04-23 12:56:42,2026-04-23 12:56:56,14.0
2026-04-23 12:56:56,2026-04-23 13:01:05,249.0
2026-04-23 13:01:05,2026-04-23 13:01:20,15.0
2026-04-23 13:01:20,2026-04-23 13:01:23,3.0
2026-04-23 13:01:23,2026-04-23 13:01:40,17.0
2026-04-23 13:01:40,2026-04-23 13:01:46,6.0
2026-04-23 13:01:46,2026-04-23 13:02:04,18.0
2026-04-23 13:02:04,2026-04-23 13:02:18,14.0
2026-04-23 13:02:18,2026-04-23 13:02:32,14.0
2026-04-23 13:02:32,2026-04-23 13:02:35,3.0
2026-04-23 13:02:35,2026-04-23 13:02:50,15.0
2026-04-23 13:02:50,2026-04-23 13:03:04,14.0
2026-04-23 13:03:04,2026-04-23 13:03:07,3.0
2026-04-23 13:03:07,2026-04-23 13:03:22,15.0
2026-04-23 13:03:22,2026-04-23 13:03:39,17.0
2026-04-23 13:03:39,2026-04-23 13:03:53,14.0
2026-04-23 13:03:53,2026-04-23 13:04:08,15.0
2026-04-23 13:04:08,2026-04-23 13:04:22,14.0
2026-04-23 13:04:22,2026-04-23 13:04:37,15.0
2026-04-23 13:04:37,2026-04-23 13:04:51,14.0
2026-04-23 13:04:51,2026-04-23 13:05:06,15.0
2026-04-23 13:05:06,2026-04-23 13:05:23,17.0
2026-04-23 13:05:23,2026-04-23 13:05:38,15.0
2026-04-23 13:05:38,2026-04-23 13:05:52,14.0
